uur,timestamp,image,temp,windbft,windkmh,windknp,windms,windrgr,windr,neersl,gr,stad,timestamp_api
03-05-2025 15:00,1746277200,halfbewolkt,18,3,18,10,5,337,NW,0.0,676,Rotterdam,03-05-25 15:36
03-05-2025 16:00,1746280800,zonnig,18,3,18,10,5,332,NW,0.0,551,Rotterdam,03-05-25 15:36
03-05-2025 17:00,1746284400,lichtbewolkt,17,4,21,12,6,322,NW,0.0,499,Rotterdam,03-05-25 15:36
03-05-2025 18:00,1746288000,halfbewolkt,15,3,18,10,5,340,NW,0.0,335,Rotterdam,03-05-25 15:36
03-05-2025 19:00,1746291600,zonnig,14,3,14,8,4,345,NW,0.0,150,Rotterdam,03-05-25 15:36
03-05-2025 20:00,1746295200,zonnig,13,3,18,10,5,339,NW,0.0,55,Rotterdam,03-05-25 15:36
03-05-2025 21:00,1746298800,halfbewolkt,12,3,14,8,4,337,NW,0.0,0,Rotterdam,03-05-25 15:36
03-05-2025 22:00,1746302400,nachtbewolkt,11,3,18,10,5,337,NW,0.0,0,Rotterdam,03-05-25 15:36
03-05-2025 23:00,1746306000,bewolkt,11,3,18,10,5,344,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 00:00,1746309600,bewolkt,11,3,14,8,4,335,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 01:00,1746313200,wolkennacht,11,3,18,10,5,332,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 02:00,1746316800,wolkennacht,11,3,18,10,5,337,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 03:00,1746320400,bewolkt,11,3,18,10,5,344,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 04:00,1746324000,bewolkt,11,3,14,8,4,333,NW,0.0,0,Rotterdam,03-05-25 15:36
04-05-2025 05:00,1746327600,bewolkt,11,3,18,10,5,348,N,0.1,0,Rotterdam,03-05-25 15:36
04-05-2025 06:00,1746331200,bewolkt,11,3,14,8,4,351,N,0.0,8,Rotterdam,03-05-25 15:36
04-05-2025 07:00,1746334800,bewolkt,11,3,14,8,4,352,N,0.0,36,Rotterdam,03-05-25 15:36
04-05-2025 08:00,1746338400,bewolkt,11,3,14,8,4,350,N,0.0,102,Rotterdam,03-05-25 15:36
