dag,image,max_temp,min_temp,windbft,windkmh,windknp,windms,windrgr,windr,neersl_perc_dag,zond_perc_dag,stad,timestamp_api
05-05-2025,halfbewolkt,14,7,4,21,12,6,40,NO,0,71,Rotterdam,05-05-25 10:07
06-05-2025,halfbewolkt,12,6,4,21,12,6,107,ZO,0,84,Rotterdam,05-05-25 10:07
07-05-2025,halfbewolkt,13,7,4,21,12,6,111,ZO,0,53,Rotterdam,05-05-25 10:07
08-05-2025,halfbewolkt,16,6,3,18,10,5,96,O,0,96,Rotterdam,05-05-25 10:07
09-05-2025,halfbewolkt,16,8,3,18,10,5,95,O,0,66,Rotterdam,05-05-25 10:07
05-05-2025,halfbewolkt,15,8,3,18,10,5,38,NO,0,75,Amsterdam,05-05-25 10:07
06-05-2025,halfbewolkt,12,5,3,14,8,4,103,ZO,0,74,Amsterdam,05-05-25 10:07
07-05-2025,halfbewolkt,14,7,3,14,8,4,73,NO,0,51,Amsterdam,05-05-25 10:07
08-05-2025,halfbewolkt,18,6,3,14,8,4,69,NO,0,96,Amsterdam,05-05-25 10:07
09-05-2025,halfbewolkt,17,7,3,14,8,4,63,NO,0,59,Amsterdam,05-05-25 10:07
05-05-2025,halfbewolkt,15,7,3,18,10,5,39,NO,0,69,Utrecht,05-05-25 10:07
06-05-2025,halfbewolkt,13,3,3,18,10,5,79,O,50,78,Utrecht,05-05-25 10:07
07-05-2025,halfbewolkt,15,5,3,14,8,4,57,NO,0,42,Utrecht,05-05-25 10:07
08-05-2025,halfbewolkt,17,5,3,14,8,4,55,NO,0,96,Utrecht,05-05-25 10:07
09-05-2025,halfbewolkt,17,6,3,14,8,4,56,NO,0,55,Utrecht,05-05-25 10:07
05-05-2025,halfbewolkt,13,9,5,28,16,8,32,NO,0,81,Den Haag,05-05-25 10:07
06-05-2025,halfbewolkt,11,8,4,25,14,7,78,O,0,75,Den Haag,05-05-25 10:07
07-05-2025,halfbewolkt,12,9,4,25,14,7,58,NO,0,50,Den Haag,05-05-25 10:07
08-05-2025,halfbewolkt,15,9,4,25,14,7,55,NO,0,96,Den Haag,05-05-25 10:07
09-05-2025,halfbewolkt,13,10,4,21,12,6,72,NO,0,63,Den Haag,05-05-25 10:07
05-05-2025,halfbewolkt,11,6,3,14,8,4,32,NO,50,67,Maastricht,05-05-25 10:07
06-05-2025,halfbewolkt,14,4,3,14,8,4,30,NO,0,89,Maastricht,05-05-25 10:07
07-05-2025,halfbewolkt,13,4,3,14,8,4,29,NO,0,55,Maastricht,05-05-25 10:07
08-05-2025,halfbewolkt,16,5,3,14,8,4,32,NO,0,76,Maastricht,05-05-25 10:07
09-05-2025,halfbewolkt,16,4,3,14,8,4,36,NO,0,74,Maastricht,05-05-25 10:07
05-05-2025,halfbewolkt,12,7,4,21,12,6,31,NO,0,73,Vlissingen,05-05-25 10:07
06-05-2025,halfbewolkt,14,4,3,18,10,5,25,NO,0,74,Vlissingen,05-05-25 10:07
07-05-2025,halfbewolkt,14,5,3,18,10,5,25,NO,0,45,Vlissingen,05-05-25 10:07
08-05-2025,halfbewolkt,18,5,3,18,10,5,28,NO,0,76,Vlissingen,05-05-25 10:07
09-05-2025,halfbewolkt,19,6,3,18,10,5,34,NO,0,75,Vlissingen,05-05-25 10:07
05-05-2025,halfbewolkt,12,9,5,28,16,8,38,NO,0,90,Leeuwarden,05-05-25 10:07
06-05-2025,halfbewolkt,11,9,4,25,14,7,125,ZO,50,72,Leeuwarden,05-05-25 10:07
07-05-2025,halfbewolkt,11,10,4,25,14,7,104,ZO,0,57,Leeuwarden,05-05-25 10:07
08-05-2025,halfbewolkt,15,9,4,21,12,6,91,O,0,92,Leeuwarden,05-05-25 10:07
09-05-2025,halfbewolkt,12,10,4,21,12,6,118,ZO,0,50,Leeuwarden,05-05-25 10:07
05-05-2025,halfbewolkt,13,5,4,21,12,6,29,NO,0,88,Groningen,05-05-25 10:07
06-05-2025,halfbewolkt,13,3,3,18,10,5,194,Z,50,72,Groningen,05-05-25 10:07
07-05-2025,halfbewolkt,13,6,3,18,10,5,163,ZO,0,55,Groningen,05-05-25 10:07
08-05-2025,halfbewolkt,17,5,3,18,10,5,136,ZO,0,94,Groningen,05-05-25 10:07
09-05-2025,halfbewolkt,16,6,3,14,8,4,162,ZO,0,45,Groningen,05-05-25 10:07
